section,continent,country,group,supergroup/association,site,unit,shared?,name,intermediate detrital?,intermediate intrusive?,depositional?,height,depth,depth_adj,age,age_std,constraint type (with respect to section age),method,material,Reference,Include in sedimentation rate calculations?,Exclude?,notes
Rabcha,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Rabcha,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,101,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Rama-06,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Rama-06,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,201,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Rama-08,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Rama-08,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,101,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Sallopat,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Sallopat,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,591,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Udaipur Valley,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Udaipur Valley,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,151,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
UM (Umra-Dedkiya),Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
UM (Umra-Dedkiya),Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,58,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
Umra,Asia,India,,,,Delwara Formation,TRUE,Delwara,FALSE,FALSE,FALSE,-1,,,2446,13.5,max,U-Pb MC-ICP-MS,detrital zircons,Wang et al. 2019,N,FALSE,Detrital zircon age from the basal Delwara Formation (beneath the Jharnarkotra Formation) provides a maximum age for initiation of Aravalli sedimentation.
Umra,Asia,India,,,,Jhamarkotra Formation,TRUE,Jhamarkotra,FALSE,FALSE,FALSE,121,,,1921,33.5,min,Carbonate Pb-Pb,whole-rock dolostone,"Sarangi et al. (2006), ref. in Wang et al. 2019",N,FALSE,"Authors interpret this is a 'metamorphic resetting age' since it matches the age for Darwal Granite, which is associated with Aravalli deformation; therefore provides a minimum age constraint for the section."
DDH86WRL1 ,Australia,Australia,Hamersley Group,Mount Bruce Supergroup,,Marra Mamba Iron Formation,TRUE,Marra Mamba Iron,FALSE,FALSE,FALSE,,423,,2597,2.5,max,U-Pb SHRIMP,zircons from tuff band,Trendall et al. (1998),N,FALSE,
DDH86WRL1 ,Australia,Australia,Hamersley Group,Mount Bruce Supergroup,,"Bee Gorge Member, Wittenoom Formation",TRUE,Bee Gorge,FALSE,FALSE,FALSE,,167,,2561,4,min,U-Pb SHRIMP,tuff (submarine fallout) in the uppermost (Bee Gorge) member of the Wittenoom Formation,Trendall et al. (1998),N,FALSE,"Depositional age for tuff in the Bee Gorge member, which is above the Paraburdoo Member (see stratigraphy in Figure 2 of Rasmussen et al. 2005). Member of section not explicitly stated, but in stratigraphic column appears to be from the lower member (Figure 5; Lindsay and Brasier 2002). Note that the Bee Gorge is described as 'heterolithic but largely clastic', with occasional input from carbonate turbidites. "
DDH88BG5,Australia,Australia,Hamersley Group,Mount Bruce Supergroup,,Carawine Dolomite,TRUE,Carawine Dolomite,FALSE,FALSE,FALSE,,379,,2630,3,max,U-Pb SHRIMP,zircons from tuff,Rasmussen et al. (2005),N,FALSE,"Tuff is approximately 30 meters below spherule layer, which is below the sampled interval in this core; thus provides a maximum age."
DDH88BG5,Australia,Australia,Hamersley Group,Mount Bruce Supergroup,,Mount McRae Shale,TRUE,Mount McRae Shale - Slotznick et al. 2022,FALSE,FALSE,FALSE,,58,,2533,3,min,U-Pb SHRIMP,zircons from tuff,Slotznick et al. (2022),N,FALSE,"Depositional age for tuff in the Mount McRae Shale, which overlies the Wittenoom formation (deep ramp time-equivalent to the Carawine Dolomite)."
Duck Creek Dolomite - Lindsay and Brasier (2002),Australia,Australia,Wyloo Group,Mount Bruce Supergroup,,Wooly Dolomite,TRUE,Wooly Dolomite tuff,FALSE,FALSE,FALSE,-1,,,2031,3,max,Ub-Pb SHRIMP,zircons in tuffaceous siltstone,Müller et al. (2005),N,FALSE,"Depositional age for base of Wooly Dolomite (age interpreted as syneruptive volcaniclastic sedimentation), which is stratigraphically lower than the Duck Creek Dolomite, provides a maximum age for section. "
Duck Creek Dolomite - Lindsay and Brasier (2002),Australia,Australia,Wyloo Group,Mount Bruce Supergroup,,June Hill volcanics,TRUE,June Hill Volcanics - Evans et al. 2003,FALSE,FALSE,FALSE,514,,,1799,4,min,U-Pb SHRIMP,"zircons from clast-supported, non-welded pumice breccia-sandstone (rhyolitic to shyodacitic composition)",Evans et al. (2003),N,FALSE,
Duck Creek Dolomite - Wilson et al. (2010),Australia,Australia,Wyloo Group,Mount Bruce Supergroup,,Wooly Dolomite,TRUE,Wooly Dolomite tuff,FALSE,FALSE,FALSE,-1,,,2031,3,max,Ub-Pb SHRIMP,zircons in tuffaceous siltstone,Müller et al. (2005),N,FALSE,"Depositional age for base of Wooly Dolomite (age interpreted as syneruptive volcaniclastic sedimentation), which is stratigraphically lower than the Duck Creek Dolomite, provides a maximum age for section. "
Duck Creek Dolomite - Wilson et al. (2010),Australia,Australia,Wyloo Group,Mount Bruce Supergroup,,June Hill volcanics,TRUE,June Hill Volcanics - Evans et al. 2003,FALSE,FALSE,FALSE,943,,,1799,4,min,U-Pb SHRIMP,"zircons from clast-supported, non-welded pumice breccia-sandstone (rhyolitic to shyodacitic composition)",Evans et al. (2003),N,FALSE,
Duck Creek Syncline,Australia,Australia,Hamersley,,,Woongarra Rhyolite,TRUE,Woongarra Rhyolite,FALSE,FALSE,FALSE,-1,,,2450,1.5,max,U-Pb SHRIMP,zircons from rhyolite,Trendall et al. (2004),N,FALSE,"Age for the Woongarra Rhyolite (possibly intrusive, but age agrees stratigraphically with overlying tuffaceous shale; see Trendall et al. 2004), which is stratigraphically lower than the Kungarra Formation. Note there is as detrital zircon age of 2460 +/- 9 Ma from the overlying Boolgeeda BIF (Caquineau et al. 2018), which provides a maximum age for overlying strata in agreement with this depositional age."
Duck Creek Syncline,Australia,Australia,Turee Creek,Mount Bruce Supergroup,,Meteorite Bore Member,TRUE,Meteorite Bore Member,FALSE,FALSE,FALSE,500,,,2312.7,2.8,depositional,Re-Os,early diagenetic pyrite,Philippot et al. (2018); ref. in Caquineau et al. (2018),N,FALSE,"Depositional to early diagenetic age for the Meteorite Bore Member, which falls within this section. Age questioned in Bekker et al. (2020, 2021) -- possibly a post-depositional hydrothermal age, but also may be reliable (Philippot et al. 2021). Given lack of indisputable evidence that age dates secondary alteration, including in the inference.  "
Duck Creek Syncline,Australia,Australia,,,,Turee Creek sill,TRUE,Turee Creek Sill,FALSE,FALSE,FALSE,795,,,2208,5,min,U-Pb SHRIMP,baddeleyite from sill,Müller et al. (2005),N,FALSE,Sill intruding the Turee Creek Group in the Meteorite Bore Member; the same mafic intrusive suite intrudes similar stratigraphic levels within the Turee Creek Group. 
FVD1A,Australia,Australia,Hamersley Group,Mount Bruce Supergroup,,Marra Mamba Iron Formation,TRUE,Marra Mamba Iron,FALSE,FALSE,FALSE,,401,,2597,2.5,max,U-Pb SHRIMP,zircons from tuff band,Trendall et al. (1998),N,FALSE,
FVD1A,Australia,Australia,Hamersley Group,Mount Bruce Supergroup,,"Bee Gorge Member, Wittenoom Formation",TRUE,Bee Gorge,FALSE,FALSE,FALSE,,83,,2561,4,min,U-Pb SHRIMP,tuff (submarine fallout) in the uppermost (Bee Gorge) member of the Wittenoom Formation,Trendall et al. (1998),N,FALSE,"Depositional age for tuff in the Bee Gorge member, which is above the Paraburdoo Member (see stratigraphy in Figure 2 of Rasmussen et al. 2005); provides a minimum age for the section, which is through the Paraburdoo Member."
FVG-1,Australia,Australia,Hamersley Group,Mount Bruce Supergroup,,Marra Mamba Iron Formation,TRUE,Marra Mamba Iron,FALSE,FALSE,FALSE,,677,,2597,2.5,max,U-Pb SHRIMP,zircons from tuff band,Trendall et al. (1998),N,FALSE,
FVG-1,Australia,Australia,Hamersley Group,Mount Bruce Supergroup,,"Bee Gorge Member, Wittenoom Formation",TRUE,Bee Gorge,FALSE,FALSE,FALSE,,160,,2561,4,min,U-Pb SHRIMP,tuff (submarine fallout) in the uppermost (Bee Gorge) member of the Wittenoom Formation,Trendall et al. (1998),N,FALSE,"Depositional age for tuff in the Bee Gorge member, which is above the Paraburdoo Member (see stratigraphy in Figure 2 of Rasmussen et al. 2005). Member of section not explicitly stated; excluded from inference. Note that the Bee Gorge is described as 'heterolithic but largely clastic', with occasional input from carbonate turbidites. "
Hardey Syncline,Australia,Australia,Turee Creek,Mount Bruce Supergroup,,Meteorite Bore Member,TRUE,Meteorite Bore Member,FALSE,FALSE,FALSE,0,,,2312.7,2.8,max,Re-Os,early diagenetic pyrite,Philippot et al. (2018); ref. in Caquineau et al. (2018),N,FALSE,"Depositional/early diagenetic age for the Meteorite Bore Member, which is stratigraphically lower than the Kazput Formation. Age questioned in Bekker et al. (2020, 2021) -- possibly a post-depositional hydrothermal age, but also may be reliable (Philippot et al. 2021). Given lack of indisputable evidence that age dates secondary alteration, including in the inference.  "
Hardey Syncline,Australia,Australia,,,,Turee Creek sill,TRUE,Turee Creek Sill,FALSE,FALSE,FALSE,600,,,2208,5,min,U-Pb SHRIMP,baddeleyite from sill,Müller et al. (2005),N,FALSE,Sill intruding the Turee Creek Group in the Meteorite Bore Member; the same mafic intrusive suite intrudes similar stratigraphic levels within the Turee Creek Group. 
Horseshoe Creek,Australia,Australia,Hamersley,,,Woongarra Rhyolite,TRUE,Woongarra Rhyolite,FALSE,FALSE,FALSE,0,,,2450,1.5,max,U-Pb SHRIMP,zircons from rhyolite,Trendall et al. (2004),N,FALSE,"Age for the Woongarra Rhyolite (possibly intrusive, but age agrees stratigraphically with overlying tuffaceous shale; see Trendall et al. 2004), which is stratigraphically lower than the Kungarra Formation. Note there is as detrital zircon age of 2460 +/- 9 Ma from the overlying Boolgeeda BIF (Caquineau et al. 2018), which provides a maximum age for overlying strata in agreement with this depositional age."
Horseshoe Creek,Australia,Australia,Turee Creek,Mount Bruce Supergroup,,Meteorite Bore Member,TRUE,Meteorite Bore Member,FALSE,FALSE,FALSE,212,,,2312.7,2.8,min,Re-Os,early diagenetic pyrite,Philippot et al. (2018); ref. in Caquineau et al. (2018),N,FALSE,"Martindale et al. (2015) states that the Horseshoe Creek section is through part of the Kungarra Formation that is stratigraphically lower than the Meteorite Bore Member; therefore, the MBM depositional/early diagenetic age provides a minimum age for this section.  Age questioned in Bekker et al. (2020, 2021) -- possibly a post-depositional hydrothermal age, but also may be reliable (Philippot et al. 2021). Given lack of indisputable evidence that age dates secondary alteration, including in the inference."
K1,Australia,Australia,Turee Creek,Mount Bruce Supergroup,,Meteorite Bore Member,TRUE,Meteorite Bore Member,FALSE,FALSE,FALSE,0,,,2312.7,2.8,max,Re-Os,early diagenetic pyrite,Philippot et al. (2018); ref. in Caquineau et al. (2018),N,FALSE,"Depositional to early diagenetic age for the Meteorite Bore Member, which is stratigraphically lower than the Kazput Formation. Age questioned in Bekker et al. (2020, 2021) -- possibly a post-depositional hydrothermal age, but also may be reliable (Philippot et al. 2021). Given lack of indisputable evidence that age dates secondary alteration, including in the inference."
K1,Australia,Australia,,,,Turee Creek sill,TRUE,Turee Creek Sill,FALSE,FALSE,FALSE,138,,,2208,5,min,U-Pb SHRIMP,baddeleyite from sill,Müller et al. (2005),N,FALSE,Sill intruding the Turee Creek Group in the Meteorite Bore Member; the same mafic intrusive suite intrudes similar stratigraphic levels within the Turee Creek Group. 
K2A,Australia,Australia,Turee Creek,Mount Bruce Supergroup,,Meteorite Bore Member,TRUE,Meteorite Bore Member,FALSE,FALSE,FALSE,0,,,2312.7,2.8,max,Re-Os,early diagenetic pyrite,Philippot et al. (2018); ref. in Caquineau et al. (2018),N,FALSE,"Depositional to early diagenetic age for the Meteorite Bore Member, which is stratigraphically lower than the Kazput Formation. Age questioned in Bekker et al. (2020, 2021) -- possibly a post-depositional hydrothermal age, but also may be reliable (Philippot et al. 2021). Given lack of indisputable evidence that age dates secondary alteration, including in the inference."
K2A,Australia,Australia,,,,Turee Creek sill,TRUE,Turee Creek Sill,FALSE,FALSE,FALSE,18,,,2208,5,min,U-Pb SHRIMP,baddeleyite from sill,Müller et al. (2005),N,FALSE,Sill intruding the Turee Creek Group in the Meteorite Bore Member; the same mafic intrusive suite intrudes similar stratigraphic levels within the Turee Creek Group. 
K2A2,Australia,Australia,Turee Creek,Mount Bruce Supergroup,,Meteorite Bore Member,TRUE,Meteorite Bore Member,FALSE,FALSE,FALSE,0,,,2312.7,2.8,max,Re-Os,early diagenetic pyrite,Philippot et al. (2018); ref. in Caquineau et al. (2018),N,FALSE,"Depositional to early diagenetic age for the Meteorite Bore Member, which is stratigraphically lower than the Kazput Formation. Age questioned in Bekker et al. (2020, 2021) -- possibly a post-depositional hydrothermal age, but also may be reliable (Philippot et al. 2021). Given lack of indisputable evidence that age dates secondary alteration, including in the inference.  "
K2A2,Australia,Australia,,,,Turee Creek sill,TRUE,Turee Creek Sill,FALSE,FALSE,FALSE,33,,,2208,5,min,U-Pb SHRIMP,baddeleyite from sill,Müller et al. (2005),N,FALSE,Sill intruding the Turee Creek Group in the Meteorite Bore Member; the same mafic intrusive suite intrudes similar stratigraphic levels within the Turee Creek Group. 
K2B+K2C,Australia,Australia,Turee Creek,Mount Bruce Supergroup,,Meteorite Bore Member,TRUE,Meteorite Bore Member,FALSE,FALSE,FALSE,-1,,,2312.7,2.8,max,Re-Os,early diagenetic pyrite,Philippot et al. (2018); ref. in Caquineau et al. (2018),N,FALSE,"Depositional to early diagenetic age for the Meteorite Bore Member, which is stratigraphically lower than the Kazput Formation. Age questioned in Bekker et al. (2020, 2021) -- possibly a post-depositional hydrothermal age, but also may be reliable (Philippot et al. 2021). Given lack of indisputable evidence that age dates secondary alteration, including in the inference."
K2B+K2C,Australia,Australia,,,,Turee Creek sill,TRUE,Turee Creek Sill,FALSE,FALSE,FALSE,66,,,2208,5,min,U-Pb SHRIMP,baddeleyite from sill,Müller et al. (2005),N,FALSE,Sill intruding the Turee Creek Group in the Meteorite Bore Member; the same mafic intrusive suite intrudes similar stratigraphic levels within the Turee Creek Group. 
Mt. Wall,Australia,Australia,Turee Creek,Mount Bruce Supergroup,,Meteorite Bore Member,TRUE,Meteorite Bore Member,FALSE,FALSE,FALSE,0,,,2312.7,2.8,max,Re-Os,early diagenetic pyrite,Philippot et al. (2018); ref. in Caquineau et al. (2018),N,FALSE,"Depositional to early diagenetic age for the Meteorite Bore Member, which is below the Mt. Wall section. Age questioned in Bekker et al. (2020, 2021) -- possibly a post-depositional hydrothermal age, but also may be reliable (Philippot et al. 2021). Given lack of indisputable evidence that age dates secondary alteration, including in the inference."
Mt. Wall,Australia,Australia,,,,Turee Creek sill,TRUE,Turee Creek Sill,FALSE,FALSE,FALSE,45,,,2208,5,min,U-Pb SHRIMP,baddeleyite from sill,Müller et al. (2005),N,FALSE,Sill intruding the Turee Creek Group in the Meteorite Bore Member; the same mafic intrusive suite intrudes similar stratigraphic levels within the Turee Creek Group. 
PP-011,Australia,Australia,,,,Juderina Formation,FALSE,Juderina Formation carbonates,FALSE,FALSE,TRUE,,,,2173,40,depositional,Pb-Pb,whole-rock dolostone,Woodhead and Hergt (1997),N,FALSE,"Whole-rock Pb-Pb age for a single stromatolite. Note that the Glengarry Basin (where dated stromatolite was collected) is the former name for the combined Yerrida, Bryah, and Padbury Basins."
PP-011,Australia,Australia,,,,Juderina Formation,TRUE,Juderina DZ,FALSE,FALSE,FALSE,,207,,2169,9.5,max,U-Pb SHRIMP,detrital zircons in sandstone,Nelson (2002),N,FALSE,Detrital zircon age provies maximum depositional age for the Juderina Formation.
PP-011,Australia,Australia,,,,Sill in the Maralouo Formation,TRUE,Maralouo Sill,FALSE,FALSE,FALSE,,198,,1843,5,min,U-Pb SHRIMP,monazite from dolerite,Rasmussen and Fletcher  (2002),N,FALSE,Dolerite sill intruding the Maralouo Formation (higher up in stratigraphy) provides a minimum age for section.
QMW 83-1,Australia,Australia,,,,Juderina Formation,FALSE,Juderina Formation carbonates,FALSE,FALSE,TRUE,,,,2173,40,depositional,Pb-Pb,whole-rock dolostone,Woodhead and Hergt (1997),N,FALSE,"Whole-rock Pb-Pb age for a single stromatolite. Note that the Glengarry Basin (where dated stromatolite was collected) is the former name for the combined Yerrida, Bryah, and Padbury Basins."
QMW 83-1,Australia,Australia,,,,Juderina Formation,TRUE,Juderina DZ,FALSE,FALSE,FALSE,,187,,2169,9.5,max,U-Pb SHRIMP,detrital zircons in sandstone,Nelson (2002),N,FALSE,Detrital zircon age provies maximum depositional age for the Juderina Formation.
QMW 83-1,Australia,Australia,,,,Sill in the Maralouo Formation,TRUE,Maralouo Sill,FALSE,FALSE,FALSE,,149,,1843,5,min,U-Pb SHRIMP,monazite from dolerite,Rasmussen and Fletcher  (2002),N,FALSE,Dolerite sill intruding the Maralouo Formation (higher up in stratigraphy) provides a minimum age for section.
RHDH2A,Australia,Australia,Hamersley Group,Mount Bruce Supergroup,,Carawine Dolomite,TRUE,Carawine Dolomite,FALSE,FALSE,FALSE,,251,,2630,3,max,U-Pb SHRIMP,zircons from tuff,Rasmussen et al. (2005),N,FALSE,"Tuff is approximately 30 meters below spherule layer, which is located at ca. 190 m in this core; since dated horizon is near base of core, provides best available maximum age constraint for section."
RHDH2A,Australia,Australia,Hamersley Group,Mount Bruce Supergroup,,Mount McRae Shale,TRUE,Mount McRae Shale - Slotznick et al. 2022,FALSE,FALSE,FALSE,,87,,2533,3,min,U-Pb SHRIMP,zircons from tuff,Slotznick et al. (2022),N,FALSE,"Depositional age for tuff in the Mount McRae Shale, which overlies the Wittenoom formation (deep ramp time-equivalent to the Carawine Dolomite)."
TDH-01,Australia,Australia,,Earaheedy Basin,,Yelma Formation,TRUE,Yelma DZ,FALSE,FALSE,FALSE,,454,,2017,7.5,max,U-Pb SHRIMP,detrital zircon from quartz arenite,Halilovic et al. (2004),N,FALSE,Detrital zircon age (from near base of unit) provide maximum age for formation.
TDH-01,Australia,Australia,,Earaheedy Basin,TDH-01,Sweetwaters Well Dolomite,FALSE,Sweetwaters Well Dolomite,FALSE,FALSE,FALSE,,247,,1949,5,min,U-Pb SHRIMP,microtuff,Sheppard et al. (2016),Y,FALSE,"Microtuff within the TDH-01 drill core; sample collected from 246.95-247.06 meters in core. This is the closest sample to the top of the Yelma formation, and also the youngest tuff age (although ages are similar for adjacent tuffs); therefore provides the most conservative minimum age. See Figure 6 in Sheppard et al. (2016) for useful summary of age constraints."
TDH-26,Australia,Australia,,Earaheedy Basin,,Yelma Formation,TRUE,Yelma DZ,FALSE,FALSE,FALSE,,519,,2017,7.5,max,U-Pb SHRIMP,detrital zircon from quartz arenite,Halilovic et al. (2004),N,FALSE,Detrital zircon age (from near base of unit) provide maximum age for formation.
TDH-26,Australia,Australia,,Earaheedy Basin,TDH-26,Frere Formation,TRUE,Frere Tuff,FALSE,FALSE,FALSE,,386.42,,1891,4,min,U-Pb SHRIMP,zircons from tuff,Rasmussen et al. (2012),Y,FALSE,Tuff at base of the Frere Formation (unit directly overlying the Yelma Formation). Sample is from the TDH-26 core from 386.38-386.46 meters depth.
TDH-28,Australia,Australia,,Earaheedy Basin,,Yelma Formation,TRUE,Yelma DZ,FALSE,FALSE,FALSE,,395,,2017,7.5,max,U-Pb SHRIMP,detrital zircon from quartz arenite,Halilovic et al. (2004),N,FALSE,Detrital zircon age (from near base of unit) provide maximum age for formation.
TDH-28,Australia,Australia,,Earaheedy Basin,TDH-26,Frere Formation,TRUE,Frere Tuff,FALSE,FALSE,FALSE,,314,,1891,4,min,U-Pb SHRIMP,zircons from tuff,Rasmussen et al. (2012),N,FALSE,"Tuff at base of Frere Formation (unit directly overlying the Yelma Formation). Since the TDH-26  core overlaps with TDH-28 (upper Yelma Formation), using as minimum age."
Turee Creek Composite,Australia,Australia,Hamersley,,,Woongarra Rhyolite,TRUE,Woongarra Rhyolite,FALSE,FALSE,FALSE,-1,,,2450,1.5,max,U-Pb SHRIMP,zircons from rhyolite,Trendall et al. (2004),N,FALSE,"Age for the Woongarra Rhyolite (possibly intrusive, but age agrees stratigraphically with overlying tuffaceous shale; see Trendall et al. 2004), which is stratigraphically lower than the Kungarra Formation. Note there is as detrital zircon age of 2460 +/- 9 Ma from the overlying Boolgeeda BIF (Caquineau et al. 2018), which provides a maximum age for overlying strata in agreement with this depositional age."
Turee Creek Composite,Australia,Australia,Turee Creek,Mount Bruce Supergroup,,Meteorite Bore Member,TRUE,Meteorite Bore Member,FALSE,FALSE,FALSE,500,,,2312.7,2.8,depositional,Re-Os,early diagenetic pyrite,Philippot et al. (2018); ref. in Caquineau et al. (2018),N,FALSE,"Depositional to early diagenetic age for the Meteorite Bore Member, which falls within this section (height is approximate, based on position of MBM in section). Age questioned in Bekker et al. (2020, 2021) -- possibly a post-depositional hydrothermal age, but also may be reliable (Philippot et al. 2021). Given lack of indisputable evidence that age dates secondary alteration, including in the inference."
Turee Creek Composite,Australia,Australia,,,,Turee Creek sill,TRUE,Turee Creek Sill,FALSE,FALSE,FALSE,1665,,,2208,5,min,U-Pb SHRIMP,baddeleyite from sill,Müller et al. (2005),N,FALSE,Sill intruding the Turee Creek Group in the Meteorite Bore Member; the same mafic intrusive suite intrudes similar stratigraphic levels within the Turee Creek Group. 
Turee Creek Syncline,Australia,Australia,Turee Creek,Mount Bruce Supergroup,,Meteorite Bore Member,TRUE,Meteorite Bore Member,FALSE,FALSE,FALSE,-221,,,2312.7,2.8,max,Re-Os,early diagenetic pyrite,Philippot et al. (2018); ref. in Caquineau et al. (2018),N,FALSE,"Depositional to early diagenetic age for the Meteorite Bore Member, which is stratigraphically lower than the Kazput Formation. Age questioned in Bekker et al. (2020, 2021) -- possibly a post-depositional hydrothermal age, but also may be reliable (Philippot et al. 2021). Given lack of indisputable evidence that age dates secondary alteration, including in the inference."
Turee Creek Syncline,Australia,Australia,,,,Turee Creek sill,TRUE,Turee Creek Sill,FALSE,FALSE,FALSE,117,,,2208,5,min,U-Pb SHRIMP,baddeleyite from sill,Müller et al. (2005),N,FALSE,Sill intruding the Turee Creek Group in the Meteorite Bore Member; the same mafic intrusive suite intrudes similar stratigraphic levels within the Turee Creek Group. 
Wooly Dolomite,Australia,Australia,Wyloo Group,Mount Bruce Supergroup,,Wooly Dolomite,TRUE,Wooly Dolomite tuff,FALSE,FALSE,FALSE,124,,,2031,3,max,Ub-Pb SHRIMP,zircons in tuffaceous siltstone,Müller et al. (2005),N,FALSE,Dated sample from base of Wooly Dolomite (age interpreted as syneruptive volcaniclastic sedimentation) provides a maximum age for section. 
Wooly Dolomite,Australia,Australia,Wyloo Group,,Paraburdoo Mine,Mafic dike swarm,FALSE,Lower Wyloo Dike,FALSE,FALSE,FALSE,671,,,2009,8,max,Ub-Pb SHRIMP,baddeleyite from doleritic dykes,Müller et al. (2005),N,FALSE,See Figure 2 of Mueller et al. (2005) and Figure 3 of Bekker et al. (2016) for position of age constraints with respect to different units. Dated sample is from a dolerite dike that intrudes strata of the Horseshoe Basin (including the Lower Wyloo Group/Wooly Dolomite). Age reported in text and on concordia diagrams is 2009 Ma; instead reported as 2008 Ma on stratigraphic column in Figure 2 of Mueller et al. (2005); assuming 2009 Ma is correct.
Wyloo Group Composite,Australia,Australia,Wyloo Group,Mount Bruce Supergroup,,Wooly Dolomite,TRUE,Wooly Dolomite tuff,FALSE,FALSE,FALSE,0,,,2031,3,max,Ub-Pb SHRIMP,zircons in tuffaceous siltstone,Müller et al. (2005),N,FALSE,"Depositional age for base of Wooly Dolomite (age interpreted as syneruptive volcaniclastic sedimentation), which is stratigraphically lower than the Duck Creek Dolomite, provides a maximum age for section. "
Wyloo Group Composite,Australia,Australia,Wyloo Group,,Paraburdoo Mine,Mafic dike swarm,FALSE,Lower Wyloo Dike,FALSE,TRUE,FALSE,671,,,2009,8,min for the Wooly Dolomite,Ub-Pb SHRIMP,baddeleyite from doleritic dykes,Müller et al. (2005),N,FALSE,See Figure 2 of Mueller et al. (2005) and Figure 3 of Bekker et al. (2016) for position of age constraints with respect to different units. Dated sample is from a dolerite dike that intrudes strata of the Horseshoe Basin (including the Lower Wyloo Group/Wooly Dolomite). Age reported in text and on concordia diagrams is 2009 Ma; instead reported as 2008 Ma on stratigraphic column in Figure 2 of Mueller et al. (2005); assuming 2009 Ma is correct.
